,n_items,n_questions,n_dims_model,train_err,train_n,train_err_norm,test_err,test_n,test_err_norm,n_dims_gt,run
461,75,200,13,2.8288258054817264,160,0.01768016128426079,149858.35817176296,40,3746.458954294074,10,1
462,75,200,13,4.9166068948617445,160,0.030728793092885905,45674.3149202792,40,1141.8578730069798,10,2
463,75,200,13,2.883506450658748,160,0.018021915316617176,430154.78072048724,40,10753.869518012181,10,3
464,75,200,13,4.020402270755279,160,0.025127514192220497,202740.4874627674,40,5068.512186569185,10,4
465,75,200,13,2.939215553044402,160,0.018370097206527512,132298.04890585932,40,3307.451222646483,10,5
466,75,200,13,2.063965480185479,160,0.012899784251159244,2455124.8370595807,40,61378.120926489515,10,6
467,75,200,13,2.9508190757313253,160,0.018442619223320782,2127153.68539289,40,53178.842134822255,10,7
468,75,200,13,1.6909104194587365,160,0.010568190121617103,37438.56054218035,40,935.9640135545087,10,8
469,75,200,13,5.658925161379373,160,0.035368282258621084,81338.83055277028,40,2033.470763819257,10,9
470,75,200,21,1.1336605782049665,160,0.0070853786137810406,865801.4489358709,40,21645.03622339677,10,0
471,75,200,21,2.907507862872618,160,0.018171924142953863,1151880.2568457085,40,28797.006421142712,10,1
472,75,200,21,1.0301669758221244,160,0.006438543598888277,27120324.47337355,40,678008.1118343387,10,2
473,75,200,21,3.7090016548437004,160,0.023181260342773128,2688008.980742191,40,67200.22451855478,10,3
474,75,200,21,1.323616660205709,160,0.008272604126285681,8146033.344687995,40,203650.83361719985,10,4
475,75,200,21,1.8836676448178133,160,0.011772922780111333,10500876.049590958,40,262521.90123977396,10,5
476,75,200,21,7.592147197102412,160,0.04745091998189008,2197128.397314808,40,54928.209932870195,10,6
477,75,200,21,7.936961240431363,160,0.04960600775269602,138841.71024451774,40,3471.0427561129436,10,7
478,75,200,21,1.7707087654295801,160,0.011066929783934875,7305929.397060114,40,182648.23492650286,10,8
479,75,200,21,6.21414351309682,160,0.03883839695685513,816771.3751017124,40,20419.284377542812,10,9
480,100,100,2,113.76639342456927,80,1.422079917807116,1818.0529073000603,20,90.90264536500301,10,0
481,100,100,2,112.4808667765101,80,1.4060108347063762,13271.730789805843,20,663.5865394902921,10,1
482,100,100,2,69.14966340759486,80,0.8643707925949358,7002.441373251842,20,350.12206866259214,10,2
483,100,100,2,136.56451329141439,80,1.7070564161426798,3784.068016968726,20,189.2034008484363,10,3
484,100,100,2,106.62692791304997,80,1.3328365989131246,2242.2324984139805,20,112.11162492069903,10,4
485,100,100,2,159.74736677066124,80,1.9968420846332655,10630.766457555312,20,531.5383228777656,10,5
486,100,100,2,176.42987919470457,80,2.205373489933807,4587.407681029383,20,229.37038405146913,10,6
487,100,100,2,96.78457664115219,80,1.2098072080144022,2512.4286965885603,20,125.62143482942801,10,7
488,100,100,2,148.99048369265594,80,1.8623810461581993,5626.272226378521,20,281.31361131892606,10,8
489,100,100,2,147.53790436332454,80,1.8442238045415569,6955.863139306075,20,347.79315696530375,10,9
